test_type,max,size,time
Semi-Random,16500000,16500000,0.379
Random-Max,150000178,16500000,0.57
Random-Min,10,16500000,0.227
Random,15000000,15000000,0.454
Ascending,15000000,15000000,0.342
Descending,15000000,15000000,0.312
Semi-Random,15000000,15000000,0.331
Random-Max,150000180,15000000,0.451
Random-Min,10,15000000,0.207
Random,13500000,13500000,0.406
Ascending,13500000,13500000,0.307
Descending,13500000,13500000,0.279
Semi-Random,13500000,13500000,0.298
Random-Max,150000182,13500000,0.408
Random-Min,10,13500000,0.188
Random,12000000,12000000,0.356
Ascending,12000000,12000000,0.277
Descending,12000000,12000000,0.25
Semi-Random,12000000,12000000,0.276
Random-Max,150000184,12000000,0.355
Random-Min,10,12000000,0.168
Random,10500000,10500000,0.31
Ascending,10500000,10500000,0.253
Descending,10500000,10500000,0.214
Semi-Random,10500000,10500000,0.233
Random-Max,150000186,10500000,0.315
Random-Min,10,10500000,0.143
Random,9000000,9000000,0.265
Ascending,9000000,9000000,0.204
Descending,9000000,9000000,0.185
Semi-Random,9000000,9000000,0.2
Random-Max,150000188,9000000,0.273
Random-Min,10,9000000,0.125
Random,7500000,7500000,0.221
Ascending,7500000,7500000,0.173
Descending,7500000,7500000,0.157
Semi-Random,7500000,7500000,0.162
Random-Max,150000190,7500000,0.224
Random-Min,10,7500000,0.103
Random,6000000,6000000,0.177
Ascending,6000000,6000000,0.135
Descending,6000000,6000000,0.122
Semi-Random,6000000,6000000,0.133
Random-Max,150000192,6000000,0.175
Random-Min,10,6000000,0.082
Random,4500000,4500000,0.131
Ascending,4500000,4500000,0.102
Descending,4500000,4500000,0.093
Semi-Random,4500000,4500000,0.098
Random-Max,150000194,4500000,0.134
Random-Min,10,4500000,0.062
Random,3000000,3000000,0.086
Ascending,3000000,3000000,0.067
Descending,3000000,3000000,0.061
Semi-Random,3000000,3000000,0.066
Random-Max,150000196,3000000,0.085
Random-Min,10,3000000,0.042
Random,1500000,1500000,0.042
Ascending,1500000,1500000,0.034
Descending,1500000,1500000,0.03
Semi-Random,1500000,1500000,0.032
Random-Max,150000198,1500000,0.042
Random-Min,10,1500000,0.02
